label,point_count,center,number_candidates
2,17140,[ 53 146],"[(33, 87, 111, 174)]"
3,36300,[122 245],"[(73, 128, 265, 339), (145, 204, 256, 338)]"
4,54889,[198 361],"[(149, 204, 444, 518)]"
5,73010,[123 750],"[(138, 192, 747, 811)]"
6,1049407,[ 511 2124],"[(241, 295, 891, 949), (600, 654, 2919, 2977), (668, 723, 1892, 1950), (690, 744, 2361, 2419)]"
7,844268,[ 496 3283],"[(138, 193, 1764, 1827), (181, 236, 2740, 2804), (214, 268, 1348, 1411), (389, 444, 3565, 3629), (392, 446, 3190, 3254), (470, 524, 4082, 4146), (521, 576, 3308, 3371), (662, 716, 4291, 4354), (824, 879, 3874, 3937)]"
8,23793,[  71 1700],"[(52, 106, 1693, 1757)]"
9,27790,[  81 2037],"[(49, 103, 2041, 2098)]"
10,32561,[  95 2515],"[(51, 106, 2540, 2604)]"
11,12985,[  71 2724],"[(39, 93, 2672, 2736)]"
12,1267,[  31 2775],"[(15, 59, 2745, 2802)]"
13,61591,[ 207 3137],"[(168, 223, 3054, 3117)]"
14,118127,[ 248 3771],"[(47, 101, 3111, 3175), (320, 375, 3992, 4055), (434, 489, 4467, 4530)]"
15,31547,[  94 3521],"[(34, 89, 3304, 3373)]"
16,284888,[ 410 5114],"[(81, 136, 3737, 3811), (299, 354, 4212, 4286), (382, 437, 4735, 4809), (453, 508, 6016, 6090), (560, 615, 5814, 5889)]"
17,17389,[  47 3785],"[(36, 91, 3856, 3930)]"
18,623547,[ 360 5883],"[(114, 169, 4879, 4954), (187, 242, 4430, 4504), (372, 427, 5516, 5590), (425, 480, 6310, 6385), (440, 495, 6654, 6729), (510, 565, 7619, 7693)]"
19,1405,[  28 4111],"[(15, 44, 4085, 4144)]"
20,7908,[  48 4405],"[(31, 86, 4394, 4470)]"
21,29929,[  67 4653],"[(52, 107, 4546, 4621)]"
22,593559,[ 198 6519],"[(19, 74, 5339, 5415), (136, 191, 7750, 7827), (152, 207, 5673, 5749), (176, 231, 6535, 6612), (184, 239, 6990, 7067)]"
23,177563,[  80 7118],"[(32, 87, 7032, 7109), (60, 115, 6215, 6291), (79, 134, 7375, 7451)]"
24,4675,[ 46 507],"[(21, 75, 479, 543)]"
25,6363,[ 66 791],"[(38, 92, 767, 831)]"
26,18690,[ 179 3236],"[(188, 242, 3277, 3341)]"
27,12415,[  84 4346],"[(43, 97, 4281, 4357)]"
29,8778,[  93 2267],"[(66, 120, 2224, 2288)]"
38,4061,[  97 1132],"[(71, 118, 1075, 1135)]"
41,10078,[130 596],"[(106, 160, 545, 603)]"
42,10254,[ 159 1966],"[(133, 188, 1968, 2032)]"
44,7982,[ 143 5099],"[(108, 162, 4985, 5061)]"
45,2904,[ 156 4773],"[(127, 180, 4743, 4816)]"
47,11302,[ 175 5303],"[(156, 211, 5308, 5383)]"
51,16483,[ 221 6802],"[(191, 245, 6700, 6776)]"
53,146773,[ 319 6193],"[(221, 276, 5043, 5120), (233, 288, 6314, 6391), (256, 311, 5331, 5407), (327, 382, 6644, 6720), (349, 404, 7287, 7364)]"
54,80860,[ 341 3951],"[(269, 323, 3817, 3880), (446, 500, 4379, 4442)]"
58,228702,[481 440],"[(299, 354, 202, 278), (354, 408, 550, 626)]"
59,8386,[254 116],"[(219, 274, 43, 119)]"
60,14152,[ 229 5229],"[(203, 258, 5173, 5250)]"
62,17861,[ 290 4127],"[(284, 339, 4095, 4164)]"
63,20013,[ 295 3704],"[(254, 308, 3686, 3749)]"
66,3459,[297  44],"[(281, 335, 21, 80)]"
70,271439,[ 554 1476],"[(484, 539, 1779, 1843), (503, 557, 2330, 2394), (570, 625, 1176, 1239)]"
74,10089,[ 391 5403],"[(364, 419, 5375, 5449)]"
75,1628,[398  87],"[(378, 420, 57, 119)]"
76,12211,[469 232],"[(456, 510, 215, 287)]"
77,161465,[ 746 4439],"[(571, 626, 4724, 4787), (899, 954, 4185, 4248)]"
79,176783,[ 608 5488],"[(466, 521, 4862, 4930), (574, 628, 5420, 5489), (684, 739, 5808, 5877)]"
81,9658,[455 756],"[(411, 466, 701, 774)]"
82,3038,[431 335],"[(407, 460, 301, 371)]"
83,83172,[758 457],"[(814, 869, 352, 429)]"
84,37883,[ 475 2100],"[(439, 494, 2021, 2085)]"
88,148168,[1137 3584],"[(929, 984, 3518, 3594), (1416, 1470, 3515, 3591)]"
90,6800,[ 691 3397],"[(749, 797, 3341, 3410)]"
97,18294,[ 556 7001],"[(479, 534, 7026, 7101)]"
99,297279,[ 983 6205],"[(808, 850, 6540, 6602), (811, 866, 5955, 6029), (1033, 1087, 6421, 6495), (1097, 1152, 6033, 6107)]"
100,14221,[561 228],"[(542, 596, 201, 277)]"
101,5223,[ 511 7209],"[(483, 536, 7191, 7264)]"
102,64375,[ 627 6978],"[(615, 670, 6716, 6789)]"
103,290991,[1064 1211],"[(627, 682, 636, 712), (929, 984, 1303, 1379), (1047, 1101, 1142, 1218), (1118, 1173, 1356, 1432)]"
104,11508,[ 549 6901],"[(520, 574, 6897, 6971)]"
106,115897,[ 709 5340],"[(591, 646, 5146, 5210), (783, 838, 5708, 5771)]"
108,3099,[ 551 7437],"[(530, 578, 7412, 7482)]"
109,406417,[ 897 4951],"[(847, 902, 4649, 4712), (863, 918, 5477, 5540), (903, 958, 5051, 5114), (1035, 1090, 3677, 3741)]"
110,850388,[1233  594],"[(956, 1010, 159, 235), (983, 1037, 831, 908), (1247, 1301, 578, 655), (1347, 1402, 908, 984)]"
112,211680,[ 851 7399],"[(942, 996, 7311, 7387)]"
113,28142,[ 641 7179],"[(656, 710, 6939, 7015)]"
115,60455,[1188 3460],"[(874, 929, 3400, 3477), (1124, 1179, 3393, 3470)]"
116,8310,[615 989],"[(581, 636, 928, 985)]"
117,46276,[ 790 6412],"[(829, 884, 6228, 6302)]"
120,5059,[ 695 3221],"[(679, 733, 3185, 3259)]"
121,17773,[ 664 7806],"[(644, 699, 7792, 7867)]"
123,13321,[728  88],"[(659, 714, 49, 125)]"
124,1520,[ 703 3401],"[(694, 736, 3374, 3423)]"
125,19366,[ 693 3659],"[(662, 716, 3604, 3661)]"
126,2566,[653 976],"[(631, 679, 932, 994)]"
127,5282,[ 694 6680],"[(663, 718, 6640, 6715)]"
129,6314,[ 682 1044],"[(661, 716, 974, 1038)]"
131,6276,[ 691 6291],"[(670, 721, 6256, 6323)]"
132,6670,[ 712 1177],"[(689, 744, 1163, 1237)]"
133,5862,[ 710 1295],"[(684, 739, 1278, 1341)]"
135,564333,[1280 6770],"[(971, 1025, 6903, 6978), (1058, 1113, 6706, 6780), (1286, 1341, 6903, 6977), (1330, 1385, 6589, 6663)]"
136,8645,[ 744 1025],"[(764, 819, 1006, 1080)]"
138,8921,[776  52],"[(700, 754, 16, 93)]"
140,5146,[ 726 7013],"[(724, 768, 6928, 6991)]"
142,13004,[ 748 6171],"[(718, 773, 6140, 6215)]"
144,6362,[ 784 7823],"[(742, 794, 7829, 7899)]"
148,44528,[ 803 1216],"[(778, 833, 1305, 1380)]"
150,12225,[ 760 6578],"[(728, 783, 6562, 6639)]"
151,8499,[ 777 6331],"[(730, 785, 6327, 6401)]"
152,5246,[ 771 1406],"[(741, 796, 1365, 1439)]"
153,9928,[ 790 6864],"[(806, 861, 6766, 6838)]"
154,86446,[ 898 2948],"[(877, 931, 3026, 3090)]"
155,5216,[ 792 3197],"[(745, 799, 3165, 3223)]"
157,9878,[ 898 3256],"[(949, 1004, 3226, 3303)]"
158,125986,[1102 1541],"[(829, 883, 1221, 1297), (1301, 1356, 1945, 2021)]"
159,11178,[ 850 3372],"[(809, 863, 3338, 3414)]"
160,11417,[ 822 6728],"[(822, 877, 6622, 6695)]"
163,23793,[ 944 6783],"[(962, 1017, 6675, 6749)]"
164,4751,[ 823 7840],"[(797, 850, 7802, 7874)]"
165,32615,[1050 7486],"[(1104, 1149, 7426, 7490)]"
167,72646,[1329 3280],"[(1498, 1553, 3228, 3302)]"
169,3166,[ 846 3292],"[(826, 881, 3257, 3330)]"
170,3284,[ 894 3190],"[(890, 945, 3164, 3210)]"
174,108138,[ 934 2284],"[(898, 953, 2498, 2561), (919, 973, 1982, 2045)]"
175,1811,[ 876 2658],"[(851, 898, 2639, 2680)]"
176,12776,[ 895 7673],"[(878, 933, 7610, 7684)]"
178,9927,[ 903 7821],"[(853, 908, 7773, 7848)]"
179,1631,[880  57],"[(865, 908, 38, 95)]"
181,14494,[ 978 6361],"[(1009, 1064, 6212, 6286)]"
182,2131,[ 920 3341],"[(884, 926, 3320, 3365)]"
184,2520,[ 883 6513],"[(858, 905, 6483, 6549)]"
185,2535,[ 916 3296],"[(892, 942, 3263, 3326)]"
186,3769,[ 908 7859],"[(879, 933, 7825, 7898)]"
187,21187,[1145 5650],"[(1016, 1056, 5664, 5720)]"
188,4147,[ 933 7685],"[(928, 972, 7630, 7693)]"
189,29862,[1157 1712],"[(1207, 1262, 1739, 1814)]"
190,2326,[ 924 6026],"[(898, 947, 5994, 6063)]"
191,2474,[ 917 1600],"[(891, 938, 1565, 1622)]"
193,114986,[1445 2678],"[(1261, 1316, 2650, 2726), (1463, 1518, 2633, 2710)]"
196,737,[ 930 6273],"[(912, 949, 6245, 6302)]"
197,2780,[ 942 7724],"[(924, 970, 7688, 7752)]"
