label,point_count,center,number_candidates
2,986843,[ 218 1519],"[(55, 110, 3103, 3166), (85, 140, 2154, 2217), (136, 191, 2452, 2515), (173, 228, 1332, 1396), (236, 291, 837, 900), (252, 307, 452, 515)]"
3,216181,[ 171 3768],"[(145, 199, 3574, 3638)]"
4,913,[  42 4268],"[(24, 64, 4244, 4293)]"
6,28112,[ 222 4386],"[(204, 258, 4368, 4425)]"
7,27125,[ 163 4488],"[(229, 284, 4495, 4558)]"
8,6686,[  88 4425],"[(32, 86, 4385, 4442)]"
9,5780,[  51 4532],"[(20, 75, 4500, 4564)]"
10,214985,[ 575 4687],"[(365, 420, 4693, 4757), (677, 732, 4645, 4709)]"
11,7825,[ 176 4902],"[(39, 92, 4876, 4935)]"
12,49456,[  99 5065],"[(79, 134, 4975, 5038)]"
13,9988,[ 144 5200],"[(134, 179, 5125, 5191)]"
14,933521,[ 492 5768],"[(266, 321, 5951, 6015), (340, 395, 5466, 5529), (659, 714, 5429, 5493), (857, 912, 6023, 6086)]"
15,29872,[ 167 4812],"[(140, 195, 4776, 4839)]"
16,302103,[ 631 4230],"[(445, 499, 4226, 4283), (735, 790, 4128, 4186)]"
17,53663,[ 214 3322],"[(155, 210, 3262, 3326)]"
18,28989,[ 161 4640],"[(75, 130, 4625, 4682)]"
19,125448,[ 241 3011],"[(284, 339, 3109, 3173)]"
22,14968,[ 140 5442],"[(102, 156, 5432, 5496)]"
23,2202,[  82 5333],[]
24,8320,[ 260 4349],"[(312, 355, 4346, 4409)]"
25,2313,[ 107 4469],"[(74, 128, 4442, 4490)]"
27,5228,[ 137 4520],"[(92, 147, 4494, 4552)]"
30,34226,[ 283 5002],"[(286, 340, 4946, 5010)]"
31,10992,[ 286 5319],"[(131, 183, 5300, 5360)]"
33,18231,[ 179 1947],[]
35,97585,[ 517 5111],"[(579, 634, 5052, 5116)]"
36,68784,[303 309],"[(332, 387, 256, 320)]"
39,2097063,[ 827 2251],"[(528, 583, 1712, 1770), (535, 590, 2989, 3047), (541, 595, 141, 199), (567, 622, 2023, 2081), (589, 644, 1075, 1133), (600, 655, 3268, 3325), (727, 782, 1199, 1257), (908, 962, 3488, 3546), (971, 1025, 1620, 1677), (1010, 1065, 2302, 2360), (1011, 1066, 2793, 2851)]"
41,14817,[ 303 4046],"[(248, 303, 4035, 4092)]"
42,109323,[ 443 1354],"[(424, 479, 1389, 1453), (483, 538, 1026, 1090)]"
47,160600,[ 449 2434],"[(420, 475, 2245, 2309), (454, 508, 2698, 2762)]"
48,3983,[ 227 3997],"[(198, 252, 3969, 4026)]"
50,4846,[ 270 3916],"[(241, 296, 3886, 3944)]"
51,4590,[ 342 4486],"[(322, 362, 4473, 4523)]"
52,5963,[ 363 5032],"[(315, 366, 5020, 5081)]"
54,14281,[ 496 4462],"[(479, 534, 4417, 4494)]"
56,29528,[ 890 4527],"[(646, 701, 4475, 4538), (1318, 1373, 4514, 4578)]"
59,9098,[ 378 3927],"[(315, 370, 3926, 3990)]"
60,53511,[ 434 3881],"[(335, 389, 3778, 3842)]"
64,40066,[ 927 4801],"[(369, 424, 4829, 4905), (1355, 1402, 4670, 4738)]"
65,15749,[ 444 3723],"[(426, 480, 3684, 3747)]"
67,4800,[ 377 3449],"[(347, 402, 3418, 3476)]"
71,1985,[ 377 3694],"[(357, 400, 3665, 3728)]"
73,9763,[ 511 4526],"[(526, 581, 4491, 4548)]"
75,16373,[ 477 3621],"[(443, 498, 3585, 3648)]"
77,2815,[ 428 4013],"[(425, 473, 3991, 4048)]"
80,1978,[ 426 3763],"[(404, 448, 3733, 3791)]"
81,2258,[ 443 3527],"[(411, 457, 3493, 3555)]"
